,1m,10y
2006-01-04,1.4797,3.072
2006-01-05,1.5315,2.9971
2006-01-06,1.4733,3.0848
2006-01-09,1.4656,3.0634
2006-01-10,1.4575,3.0476
2006-01-11,1.4024,3.0678
2006-01-12,1.4304,3.0432
2006-01-13,1.3392,3.0229
2006-01-16,1.5229,3.0311
2006-01-17,1.5089,3.0129
2006-01-18,1.4179,2.9972
2006-01-19,1.4267,2.9916
2006-01-20,1.4364,3.0439
2006-01-23,1.3879,3.0789
2006-01-24,1.5282,2.9676
2006-01-25,1.4878,2.9589
2006-01-26,1.4853,2.9546
2006-01-27,1.4846,2.9796
2006-01-28,1.4843,2.9795
2006-02-05,1.4832,2.9837
2006-02-06,1.3928,3.0107
2006-02-07,1.3756,2.9412
2006-02-08,1.5254,2.9715
2006-02-09,1.5953,2.8715
2006-02-10,1.5329,2.8673
2006-02-13,1.6648,2.8475
2006-02-14,1.6376,2.8723
2006-02-15,1.3346,2.9109
2006-02-16,1.6034,2.875
2006-02-17,1.4609,2.9412
2006-02-20,1.4963,2.9124
2006-02-21,1.3614,2.9955
2006-02-22,1.4953,2.9172
2006-02-23,1.6019,2.9937
2006-02-24,1.6403,2.9451
2006-02-27,1.7158,2.9225
2006-02-28,1.5452,2.9266
2006-03-01,1.435,2.9
2006-03-02,1.4283,2.9
2006-03-03,1.4183,2.87
2006-03-06,1.46,2.93
2006-03-07,1.4217,2.9
2006-03-08,1.4033,2.88
2006-03-09,1.405,2.88
2006-03-10,1.4133,2.89
2006-03-13,1.4233,2.9
2006-03-14,1.4333,2.9
2006-03-15,1.4533,2.91
2006-03-16,1.4633,2.91
2006-03-17,1.4433,2.92
2006-03-20,1.4633,2.93
2006-03-21,1.4533,2.92
2006-03-22,1.4717,2.93
2006-03-23,1.45,2.912
2006-03-24,1.43,2.9
2006-03-27,1.4267,2.92
2006-03-28,1.4084,2.92
2006-03-29,1.4039,2.94
2006-03-30,1.4159,2.94
2006-03-31,1.4084,2.94
2006-04-03,1.3997,2.92
2006-04-04,1.403,2.92
2006-04-05,1.4083,2.91
2006-04-06,1.4008,2.94
2006-04-07,1.3833,2.9291
2006-04-10,1.3833,2.93
2006-04-11,1.4033,2.97
2006-04-12,1.4233,2.98
2006-04-13,1.42,2.9405
2006-04-14,1.43,2.95
2006-04-17,1.4583,2.94
2006-04-18,1.4817,3.01
2006-04-19,1.4883,3.01
2006-04-20,1.4783,3.0
2006-04-21,1.495,3.048
2006-04-24,1.5117,3.05
2006-04-25,1.5133,3.06
2006-04-26,1.5089,3.05
2006-04-27,1.48,3.01
2006-04-28,1.4533,3.01
2006-04-29,1.4518,3.0
2006-04-30,1.4633,3.0
2006-05-08,1.4596,3.02
2006-05-09,1.4467,3.0
2006-05-10,1.425,3.0
2006-05-11,1.4496,3.0
2006-05-12,1.465,3.02
2006-05-15,1.5,3.03
2006-05-16,1.4967,3.02
2006-05-17,1.475,3.0
2006-05-18,1.477,3.0
2006-05-19,1.4691,2.99
2006-05-22,1.4827,3.0
2006-05-23,1.4912,3.02
2006-05-24,1.4856,3.0
2006-05-25,1.4751,3.0
2006-05-26,1.4709,3.0
2006-05-29,1.475,3.03
2006-05-30,1.4708,3.02
2006-05-31,1.4758,3.02
2006-06-01,1.4872,3.03
2006-06-02,1.5108,3.05
2006-06-05,1.5248,3.03
2006-06-06,1.5286,3.02
2006-06-07,1.58,3.05
2006-06-08,1.5857,3.05
2006-06-09,1.6015,3.03
2006-06-12,1.6,3.05
2006-06-13,1.53,3.08
2006-06-14,1.5483,3.09
2006-06-15,1.5667,3.1
2006-06-16,1.5583,3.1
2006-06-19,1.5767,3.12
2006-06-20,1.5983,3.1
2006-06-21,1.625,3.15
2006-06-22,1.635,3.12
2006-06-23,1.6292,3.13
2006-06-26,1.6175,3.15
2006-06-27,1.6267,3.15
2006-06-28,1.6167,3.15
2006-06-29,1.635,3.15
2006-06-30,1.6517,3.165
2006-07-03,1.6833,3.159
2006-07-04,1.7083,3.15
2006-07-05,1.7433,3.18
2006-07-06,1.7333,3.172
2006-07-07,1.7233,3.18
2006-07-10,1.7133,3.1729
2006-07-11,1.7075,3.1689
2006-07-12,1.72,3.2
2006-07-13,1.7322,3.23
2006-07-14,1.7443,3.235
2006-07-17,1.7458,3.2
2006-07-18,1.7442,3.2
2006-07-19,1.7517,3.19
2006-07-20,1.753,3.2
2006-07-21,1.7608,3.2
2006-07-24,1.9,3.25
2006-07-25,1.9133,3.24
2006-07-26,1.925,3.25
2006-07-27,1.91,3.275
2006-07-28,1.925,3.25
2006-07-31,1.9325,3.26
2006-08-01,1.9287,3.25
2006-08-02,1.9292,3.25
2006-08-03,1.9193,3.24
2006-08-04,1.9302,3.25
2006-08-07,1.9305,3.25
2006-08-08,1.9305,3.25
2006-08-09,1.9259,3.26
2006-08-10,1.9072,3.26
2006-08-11,1.8919,3.255
2006-08-14,1.8906,3.245
2006-08-15,1.8755,3.245
2006-08-16,1.8482,3.24
2006-08-17,1.84,3.24
2006-08-18,1.8217,3.2
2006-08-21,1.885,3.26
2006-08-22,1.8633,3.254
2006-08-23,1.858,3.251
2006-08-24,1.8518,3.248
2006-08-25,1.8418,3.2389
2006-08-28,1.8383,3.256
2006-08-29,1.8333,3.25
2006-08-30,1.8333,3.24
2006-08-31,1.8333,3.238
2006-09-01,1.8433,3.23
2006-09-04,1.8217,3.23
2006-09-05,1.8185,3.225
2006-09-06,1.8192,3.21
2006-09-07,1.8197,3.201
2006-09-08,1.8187,3.2
2006-09-11,1.8193,3.2
2006-09-12,1.8131,3.18
2006-09-13,1.8079,3.18
2006-09-14,1.8112,3.172
2006-09-15,1.8114,3.17
2006-09-18,1.8005,3.155
2006-09-19,1.7953,3.15
2006-09-20,1.7867,3.13
2006-09-21,1.7611,3.11
2006-09-22,1.7644,3.05
2006-09-25,1.7649,3.0
2006-09-26,1.7732,3.0
2006-09-27,1.6857,3.0
2006-09-28,1.7104,3.0
2006-09-29,1.6967,3.0
2006-09-30,1.6915,2.999
2006-10-08,1.6783,3.0
2006-10-09,1.6914,3.0
2006-10-10,1.6899,2.99
2006-10-11,1.7076,2.97
2006-10-12,1.6857,2.9552
2006-10-13,1.691,2.9541
2006-10-16,1.6904,2.9567
2006-10-17,1.6957,2.9533
2006-10-18,1.6918,2.9535
2006-10-19,1.6915,2.954
2006-10-20,1.6895,2.9523
2006-10-23,1.6895,2.9492
2006-10-24,1.6867,2.9385
2006-10-25,1.683,2.9498
2006-10-26,1.6875,2.9374
2006-10-27,1.689,2.9397
2006-10-30,1.689,2.9406
2006-10-31,1.692,2.9512
2006-11-01,1.6975,2.9545
2006-11-02,1.6975,2.9557
2006-11-03,1.6975,2.9561
2006-11-06,1.72,2.9844
2006-11-07,1.7225,2.989
2006-11-08,1.725,2.9781
2006-11-09,1.7399,2.972
2006-11-10,1.7499,2.9595
2006-11-13,1.7634,2.9494
2006-11-14,1.7669,2.9682
2006-11-15,1.7649,2.9688
2006-11-16,1.7614,2.9725
2006-11-17,1.7604,2.9632
2006-11-20,1.7639,2.9806
2006-11-21,1.8264,2.9785
2006-11-22,1.8329,3.0518
2006-11-23,1.86,3.0609
2006-11-24,1.85,3.0655
2006-11-27,1.88,3.02
2006-11-28,1.87,2.9886
2006-11-29,1.855,2.9811
2006-11-30,1.86,2.9781
2006-12-01,1.88,2.9936
