,收盘,开盘,高,低,百分比变化
2006-01-02,8.0702,8.0702,8.0702,8.0702,0.00%
2006-01-03,8.0702,8.0702,8.0702,8.0702,0.00%
2006-01-04,8.068,8.0672,8.068,8.0665,-0.03%
2006-01-05,8.0657,8.065,8.0674,8.065,-0.03%
2006-01-06,8.0655,8.0673,8.0673,8.0655,-0.00%
2006-01-09,8.0641,8.0659,8.0659,8.064,-0.02%
2006-01-10,8.0645,8.0699,8.0699,8.0645,0.00%
2006-01-11,8.068,8.0709,8.0709,8.067,0.04%
2006-01-12,8.0659,8.0689,8.0689,8.065,-0.03%
2006-01-13,8.0698,8.0702,8.0702,8.0697,0.05%
2006-01-16,8.0673,8.0674,8.0688,8.066,-0.03%
2006-01-17,8.0672,8.0661,8.0672,8.0661,-0.00%
2006-01-18,8.0694,8.0686,8.0694,8.0686,0.03%
2006-01-19,8.0687,8.0706,8.0706,8.067,-0.01%
2006-01-20,8.0601,8.0649,8.0649,8.0601,-0.11%
2006-01-23,8.0634,8.0643,8.066,8.0634,0.04%
2006-01-24,8.0622,8.0634,8.0647,8.0622,-0.01%
2006-01-25,8.0629,8.0616,8.0629,8.0616,0.01%
2006-01-26,8.0625,8.0629,8.0643,8.0625,-0.00%
2006-01-27,8.0622,8.0597,8.0622,8.0597,-0.00%
2006-01-30,8.0622,8.0622,8.0622,8.0622,0.00%
2006-01-31,8.0622,8.0622,8.0622,8.0622,0.00%
2006-02-01,8.0622,8.0622,8.0622,8.0622,0.00%
2006-02-02,8.0622,8.0622,8.0622,8.0622,0.00%
2006-02-03,8.0622,8.0622,8.0622,8.0622,0.00%
2006-02-06,8.0572,8.0547,8.0621,8.0533,-0.06%
2006-02-07,8.0575,8.0577,8.059,8.0575,0.00%
2006-02-08,8.055,8.0557,8.0579,8.055,-0.03%
2006-02-09,8.0557,8.0556,8.0557,8.053,0.01%
2006-02-10,8.0501,8.0549,8.0549,8.05,-0.07%
2006-02-13,8.0466,8.057,8.057,8.0466,-0.04%
2006-02-14,8.0475,8.0486,8.0486,8.0475,0.01%
2006-02-15,8.0557,8.0478,8.0485,8.0478,0.10%
2006-02-16,8.0488,8.0487,8.0492,8.0463,-0.09%
2006-02-17,8.049,8.0502,8.0507,8.0485,0.00%
2006-02-20,8.048,8.0555,8.0555,8.046,-0.01%
2006-02-21,8.05,8.0474,8.05,8.045,0.02%
2006-02-22,8.0476,8.0501,8.0515,8.0462,-0.03%
2006-02-23,8.0475,8.0494,8.0515,8.0475,-0.00%
2006-02-24,8.043,8.0441,8.052,8.043,-0.06%
2006-02-27,8.0407,8.0424,8.0515,8.04,-0.03%
2006-02-28,8.0404,8.0424,8.052,8.0404,-0.00%
2006-03-01,8.037,8.0399,8.0402,8.037,-0.04%
2006-03-02,8.0366,8.0404,8.0404,8.0366,-0.00%
2006-03-03,8.0372,8.0366,8.0402,8.0366,0.01%
2006-03-06,8.037,8.0395,8.0399,8.0368,-0.00%
2006-03-07,8.0424,8.0429,8.0429,8.0367,0.07%
2006-03-08,8.048,8.0484,8.0492,8.048,0.07%
2006-03-09,8.0493,8.0459,8.0494,8.0388,0.02%
2006-03-10,8.0505,8.0481,8.0505,8.045,0.01%
2006-03-13,8.0505,8.0465,8.0522,8.0465,0.00%
2006-03-14,8.0478,8.0464,8.0478,8.045,-0.03%
2006-03-15,8.0385,8.0397,8.0405,8.0382,-0.12%
2006-03-16,8.039,8.0359,8.0395,8.0359,0.01%
2006-03-17,8.0319,8.0319,8.0343,8.0315,-0.09%
2006-03-20,8.0315,8.0259,8.0315,8.025,-0.00%
2006-03-21,8.028,8.0276,8.0314,8.0267,-0.04%
2006-03-22,8.0288,8.0315,8.0319,8.0278,0.01%
2006-03-23,8.0283,8.0293,8.0307,8.0269,-0.01%
2006-03-24,8.0299,8.0305,8.0338,8.0297,0.02%
2006-03-27,8.0214,8.0265,8.0265,8.0214,-0.11%
2006-03-28,8.0212,8.0221,8.024,8.0209,-0.00%
2006-03-29,8.0259,8.028,8.029,8.0259,0.06%
2006-03-30,8.0253,8.0274,8.0274,8.0245,-0.01%
2006-03-31,8.0175,8.0185,8.0193,8.0168,-0.10%
2006-04-03,8.021,8.0225,8.0259,8.02,0.04%
2006-04-04,8.0171,8.021,8.0213,8.0171,-0.05%
2006-04-05,8.011,8.0129,8.0171,8.0086,-0.08%
2006-04-06,8.008,8.011,8.0115,8.008,-0.04%
2006-04-07,8.0119,8.008,8.0143,8.008,0.05%
2006-04-10,8.0064,8.0044,8.0121,8.002,-0.07%
2006-04-11,8.011,8.011,8.012,8.009,0.06%
2006-04-12,8.0119,8.0129,8.0133,8.0085,0.01%
2006-04-13,8.0185,8.0119,8.0257,8.0119,0.08%
2006-04-14,8.0165,8.0185,8.0193,8.0135,-0.02%
2006-04-17,8.0205,8.0162,8.0205,8.0145,0.05%
2006-04-18,8.024,8.0149,8.0245,8.013,0.04%
2006-04-19,8.0135,8.024,8.024,8.0116,-0.13%
2006-04-20,8.0135,8.0126,8.0155,8.0126,0.00%
2006-04-21,8.017,8.0135,8.0219,8.0135,0.04%
2006-04-24,8.0165,8.0171,8.0172,8.0132,-0.01%
2006-04-25,8.012,8.0169,8.017,8.012,-0.06%
2006-04-26,8.0183,8.022,8.0224,8.0175,0.08%
2006-04-27,8.0172,8.019,8.0199,8.0155,-0.01%
2006-04-28,8.0139,8.0174,8.0175,8.0139,-0.04%
2006-05-01,8.0139,8.0139,8.0139,8.0139,0.00%
2006-05-02,8.0139,8.0139,8.0139,8.0139,0.00%
2006-05-03,8.0139,8.0139,8.0139,8.0139,0.00%
2006-05-04,8.0139,8.0139,8.0139,8.0139,0.00%
2006-05-05,8.0139,8.0139,8.0139,8.0139,0.00%
2006-05-08,8.007,8.0067,8.0116,8.0047,-0.09%
2006-05-09,8.0052,8.0074,8.0139,8.004,-0.02%
2006-05-10,8.0035,8.0042,8.0042,8.0017,-0.02%
2006-05-11,8.004,8.0042,8.0051,8.0032,0.01%
2006-05-12,8.0065,8.0077,8.0086,8.004,0.03%
2006-05-15,8.008,7.9982,8.008,7.998,0.02%
2006-05-16,8.003,8.008,8.0159,8.003,-0.06%
2006-05-17,8.001,8.003,8.0069,8.001,-0.02%
2006-05-18,8.0104,8.001,8.019,8.001,0.12%
2006-05-19,8.02,8.0104,8.0205,8.01,0.12%
2006-05-22,8.026,8.0225,8.0285,8.0225,0.07%
2006-05-23,8.02,8.026,8.026,8.0176,-0.07%
2006-05-24,8.02,8.023,8.0278,8.02,0.00%
2006-05-25,8.025,8.02,8.0277,8.02,0.06%
2006-05-26,8.025,8.025,8.026,8.0212,0.00%
2006-05-29,8.0226,8.0282,8.0291,8.0226,-0.03%
2006-05-30,8.032,8.0279,8.032,8.0245,0.12%
2006-05-31,8.024,8.0188,8.0278,8.0188,-0.10%
2006-06-01,8.0204,8.0214,8.0266,8.0195,-0.04%
2006-06-02,8.023,8.0214,8.025,8.0214,0.03%
2006-06-05,8.0077,8.01,8.0225,8.0075,-0.19%
2006-06-06,8.0125,8.0115,8.021,8.0093,0.06%
2006-06-07,8.017,8.0158,8.0215,8.0158,0.06%
2006-06-08,8.0185,8.0183,8.023,8.0175,0.02%
2006-06-09,8.0112,8.0184,8.0225,8.0112,-0.09%
2006-06-12,8.016,8.017,8.0215,8.0144,0.06%
2006-06-13,8.023,8.0073,8.023,8.0038,0.09%
2006-06-14,8.0005,8.0055,8.0225,8.0005,-0.28%
2006-06-15,8.0009,8.0003,8.002,7.998,0.01%
2006-06-16,7.9983,7.9953,7.9983,7.9947,-0.03%
2006-06-19,8.0077,8.0022,8.0098,8.0013,0.12%
2006-06-20,8.0029,8.004,8.0225,8.0029,-0.06%
2006-06-21,8.001,7.999,8.0013,7.9988,-0.02%
2006-06-22,7.9965,7.9961,7.9967,7.9952,-0.06%
2006-06-23,7.9998,8.0021,8.0225,7.9998,0.04%
2006-06-26,8.002,8.0042,8.0042,8.0018,0.03%
2006-06-27,7.9985,7.998,7.9995,7.9968,-0.04%
2006-06-28,7.9985,7.9984,7.999,7.9964,0.00%
2006-06-29,7.996,7.9986,7.9995,7.996,-0.03%
2006-06-30,7.9925,7.996,7.996,7.9925,-0.04%
2006-07-03,8.0002,7.993,8.0002,7.9919,0.10%
2006-07-04,7.9923,7.9931,8.0022,7.9923,-0.10%
