,m2,m2_yoy,m1,m1_yoy,m0,m0_yoy,cd,cd_yoy,qm,qm_yoy,ftd,ftd_yoy,sd,sd_yoy,rests,rests_yoy
2005-10,287591.61,17.99,101751.98,12.08,21892.98,9.49,79859.0,12.95,185839.63,21.43,32145.97,32.21,136827.11,17.95,16866.55,34.87
2005-11,292350.39,18.3,104125.78,12.71,22409.39,10.89,81716.39,13.22,188224.61,21.68,32229.65,33.09,138504.28,17.76,17490.68,39.02
2005-12,298755.67,17.57,107278.76,11.78,24031.67,11.94,83247.09,11.74,191476.91,21.08,33099.99,30.41,141050.99,17.98,17325.93,31.26
2005-02,259357.29,14.23,92814.95,11.08,22667.97,13.95,70146.98,10.18,166542.34,15.97,25296.42,20.89,127823.44,15.52,13422.48,10.61
2005-03,264588.94,14.22,94743.19,10.4,21238.95,10.06,73504.24,10.5,169845.75,16.36,26543.24,22.63,129259.35,15.54,14043.16,12.1
2005-04,266992.66,14.28,94593.72,10.5,21666.56,9.0,72927.16,10.96,172398.94,16.36,28178.12,20.94,129816.83,15.73,14403.99,13.03
2005-05,269240.49,14.64,95802.01,10.4,20811.59,9.26,74990.42,10.72,173438.48,16.98,28201.05,23.49,130577.44,15.96,14659.99,13.81
2005-06,275785.53,15.67,98601.25,11.25,20848.76,9.63,77752.49,11.7,177184.28,18.14,29395.97,24.87,132339.14,16.3,15449.17,23.08
2005-07,276966.28,16.3,97674.1,11.0,21171.2,9.08,76502.9,11.56,179292.18,19.17,29673.7,26.56,133656.44,16.98,15962.04,26.44
2005-08,281288.22,17.34,99377.7,11.5,21351.56,9.39,78026.14,12.09,181910.52,20.73,30852.96,30.81,134505.01,17.48,16552.55,33.49
2005-09,287438.27,17.92,100964.0,11.64,22272.92,8.52,78691.08,12.55,186474.27,21.56,33320.65,32.9,136316.32,18.06,16837.3,32.67
2006-01,303571.65,19.21,107250.68,10.63,29310.37,22.05,77940.31,6.87,196320.97,24.49,46692.74,34.99,148008.43,21.07,1619.8,39.5
2006-10,332747.18,17.08,118359.97,16.33,24964.17,14.03,93395.8,16.96,214387.21,17.5,50311.95,14.44,158033.38,15.5,6041.88,45.06
2006-11,337504.16,16.8,121644.96,16.83,25527.26,13.91,96117.7,17.63,215859.2,16.79,51068.09,15.4,159716.74,15.32,5074.37,34.38
2006-12,345603.59,16.94,126035.13,17.48,27072.62,12.65,98962.5,18.87,219568.5,16.64,38732.1,17.13,161587.3,14.56,19249.1,36.24
2006-02,304516.27,18.82,104357.08,12.44,24482.02,8.0,79875.06,13.88,200159.19,22.44,47016.09,33.59,151179.62,18.27,1963.48,46.66
2006-03,310490.65,18.76,106737.08,12.67,23472.03,10.51,83265.05,13.29,203753.57,22.22,49051.11,31.51,152819.02,18.23,1883.44,46.94
2006-04,313702.34,18.92,106389.11,12.48,24155.73,11.49,82233.38,12.77,207313.23,22.52,51892.84,30.61,153401.04,18.17,2019.35,52.6
2006-05,316709.8,19.05,109219.21,14.01,23465.31,12.75,85753.9,14.36,207490.59,21.89,51062.99,27.52,153523.4,17.57,2904.2,57.21
2006-06,322756.35,18.43,112342.36,13.94,23469.08,12.57,88873.28,14.31,210413.99,20.98,51647.69,23.68,154996.87,17.12,3769.43,56.25
2006-07,324010.76,18.4,112653.04,15.34,23752.59,12.19,88900.45,16.21,211357.72,20.1,50661.55,21.03,155131.85,16.07,5564.32,60.44
2006-08,327885.67,17.94,114845.67,15.57,24185.36,13.27,90660.31,16.2,213040.0,19.26,51390.01,18.8,156282.14,16.19,5367.85,51.38
2006-09,331865.36,16.83,116814.1,15.7,25687.38,15.33,91126.72,15.81,215051.26,17.46,53061.05,16.63,158108.89,15.99,3881.32,34.33
2007-01,351498.77,15.79,128484.06,19.8,27949.13,-4.64,100534.93,28.99,223014.71,13.6,52854.9,12.2,161968.62,9.43,8191.19,60.2
2007-10,394204.17,18.47,144649.33,22.21,28317.78,13.43,116331.55,0.0,249554.84,0.0,62206.57,0.0,163957.58,0.0,23390.69,0.0
2007-11,399757.91,18.45,148009.82,21.67,28987.92,13.56,119021.9,0.0,251748.09,0.0,63048.95,0.0,166561.09,0.0,22138.05,0.0
2007-12,403442.21,16.7,152560.08,21.0,30375.23,12.2,122184.9,23.5,250882.1,14.3,46932.5,21.2,172534.2,6.8,31415.4,63.2
2007-02,358659.25,17.78,126258.08,20.99,30627.93,25.1,95630.15,19.72,232401.17,16.11,54124.02,15.2,171042.59,13.03,7234.56,48.71
2007-03,364093.66,17.27,127881.31,19.81,27387.95,16.68,100493.36,20.69,236212.35,15.93,55561.7,14.64,172607.66,12.95,8042.99,48.41
2007-04,367326.46,17.09,127678.34,20.01,27813.89,15.14,99864.45,21.44,239648.12,15.6,58894.38,15.31,170932.69,11.3,9821.05,55.26
2007-05,369718.15,16.74,130275.8,19.28,26727.97,13.9,103547.83,0.0,239442.35,0.0,57506.12,0.0,168039.97,0.0,13896.26,0.0
2007-06,377832.15,17.06,135847.41,20.92,26881.1,14.54,108966.31,22.61,241984.74,15.0,59282.15,15.84,169651.55,9.38,13051.04,59.03
2007-07,383884.88,18.48,136237.43,20.94,27326.26,15.05,108911.17,0.0,247647.45,0.0,59187.91,0.0,169567.19,0.0,18892.35,0.0
2007-08,387205.15,18.09,140993.31,22.77,27822.39,14.95,113170.92,0.0,246211.84,0.0,61615.53,0.0,169171.45,0.0,15424.86,0.0
2007-09,393098.91,18.45,142591.57,22.07,29030.58,13.01,113560.99,0.0,250507.34,0.0,66838.74,0.0,169038.07,0.0,14630.53,0.0
2008-01,417818.67,18.88,154870.16,20.54,36673.15,31.21,118197.01,0.0,262948.51,0.0,65537.4,0.0,174347.88,0.0,23063.23,0.0
2008-10,453133.32,15.02,157194.36,8.85,31317.84,10.59,125876.52,0.0,295938.96,0.0,80139.05,0.0,207469.89,0.0,8330.02,0.0
2008-11,458644.65,14.8,157826.61,6.8,31607.34,9.04,126219.27,0.0,300818.04,0.0,81146.82,0.0,211188.49,0.0,8482.73,0.0
2008-12,475166.6,17.82,166217.13,9.06,34218.96,12.65,131998.17,8.17,308949.47,23.15,82339.85,28.06,217801.36,26.29,8808.26,-1.45
2008-02,421037.84,17.39,150177.88,18.95,32454.47,5.96,117723.41,0.0,270859.96,0.0,67324.48,0.0,183960.15,0.0,19575.33,0.0
2008-03,423054.53,16.19,150867.47,17.97,30433.07,11.12,120434.4,20.2,272187.06,15.23,71599.33,32.42,187414.88,8.78,13172.85,33.01
2008-04,429313.72,16.94,151694.91,19.05,30789.61,10.7,120905.3,0.0,277618.81,0.0,73767.12,0.0,188389.12,0.0,15462.58,0.0
2008-05,436221.6,18.07,153344.75,17.93,30169.3,12.88,123175.45,0.0,282876.85,0.0,75420.16,0.0,190674.38,0.0,16782.31,0.0
2008-06,443141.02,17.37,154820.15,14.19,30181.32,12.28,124638.83,14.66,288320.87,19.15,77981.31,33.43,194269.47,14.66,16070.09,24.4
2008-07,446362.17,16.35,154992.44,13.96,30687.19,12.3,124305.25,0.0,291369.73,0.0,78247.74,0.0,196671.47,0.0,16450.52,0.0
2008-08,448846.68,16.0,156889.92,11.48,30851.62,10.89,126038.3,0.0,291956.76,0.0,80111.39,0.0,199988.93,0.0,11856.44,0.0
2008-09,452898.7,15.29,155748.97,9.43,31724.88,9.28,124024.09,9.46,297149.73,18.62,84045.11,26.0,204424.17,21.14,8680.45,-5.17
2009-01,496136.64,18.79,165214.97,6.68,41082.37,12.02,124132.6,0.0,330921.66,0.0,89008.3,0.0,233148.52,0.0,8764.85,0.0
2009-10,586643.29,29.42,207545.74,32.03,35730.23,14.09,171815.52,0.0,379097.55,0.0,108809.28,0.0,253076.36,0.0,17211.91,0.0
2009-11,594604.72,29.74,212493.2,34.63,36343.86,14.99,176149.34,0.0,382111.52,0.0,109074.98,0.0,253657.91,0.0,19378.63,0.0
2009-12,610224.52,27.68,221445.81,32.35,38246.97,11.77,181755.54,37.69,386223.49,25.16,110871.95,37.74,260271.5,19.68,15080.04,39.42
2009-02,506708.08,20.48,166149.6,10.87,35141.64,8.28,131007.96,0.0,340558.48,0.0,92513.4,0.0,237424.52,0.0,10620.57,0.0
2009-03,530626.71,25.51,176541.13,17.04,33746.42,10.88,142794.71,18.59,354085.58,30.21,100344.77,29.87,243054.91,29.65,10685.9,34.09
2009-04,540481.21,25.95,178213.57,17.48,34257.27,11.26,143956.3,0.0,362267.65,0.0,106430.69,0.0,244221.74,0.0,11615.21,0.0
2009-05,548263.51,25.74,182025.58,18.69,33559.52,11.24,148466.06,0.0,366237.93,0.0,108461.25,0.0,246150.61,0.0,11626.06,0.0
2009-06,568916.2,28.46,193138.15,24.79,33640.98,11.46,159497.17,28.02,375778.05,30.43,112491.19,35.53,249223.66,28.28,14063.21,33.96
2009-07,573102.85,28.42,195889.26,26.37,34239.3,11.59,161649.96,0.0,377213.59,0.0,110368.63,0.0,249227.04,0.0,17617.92,0.0
2009-08,576698.95,28.53,200394.83,27.72,34406.62,11.52,165988.21,0.0,376304.13,0.0,108825.75,0.0,248455.58,0.0,19022.81,0.0
2009-09,585405.34,29.31,201708.14,29.51,36787.89,15.96,164920.25,32.98,383697.2,29.2,113899.97,37.05,255612.15,24.93,14185.08,41.8
2010-01,625609.29,25.98,229588.98,38.96,40758.58,-0.79,188830.4,0.0,396020.31,0.0,116340.51,0.0,262772.98,0.0,16906.82,0.0
2010-10,699776.74,19.3,253313.17,22.1,41646.21,16.6,211666.96,0.0,446463.57,0.0,138357.86,0.0,292037.71,0.0,16068.0,0.0
2010-11,710339.02,19.5,259420.32,22.1,42252.16,16.3,217168.16,0.0,450918.7,0.0,140202.84,0.0,293426.73,0.0,17289.13,0.0
2010-12,725851.79,19.72,266621.54,21.19,44628.17,16.69,221993.37,22.14,459230.25,18.88,143232.08,28.65,303093.01,16.31,12905.15,15.81
2010-02,636072.26,25.52,224286.95,34.99,42865.79,21.98,181421.17,0.0,411785.31,0.0,119190.13,0.0,278352.29,0.0,14242.89,0.0
2010-03,649947.46,22.5,229397.93,29.94,39080.58,15.81,190317.35,33.28,420549.53,18.79,122943.73,33.71,280350.33,15.62,17255.48,12.86
