,1m
2006-03-01,1.7582
2006-03-02,1.7854
2006-03-03,1.7362
2006-03-06,1.825
2006-03-07,1.7618
2006-03-08,1.7637
2006-03-09,1.7562
2006-03-10,1.7667
2006-03-13,1.7792
2006-03-14,1.7917
2006-03-15,1.8167
2006-03-16,1.8292
2006-03-17,1.8042
2006-03-20,1.8292
2006-03-21,1.8167
2006-03-22,1.7728
2006-03-23,1.8125
2006-03-24,1.7875
2006-03-27,1.752
2006-03-28,1.7604
2006-03-29,1.7548
2006-03-30,1.6991
2006-03-31,1.6901
2006-04-03,1.6796
2006-04-04,1.6831
2006-04-05,1.69
2006-04-06,1.681
2006-04-07,1.66
2006-04-10,1.66
2006-04-11,1.684
2006-04-12,1.708
2006-04-13,1.8027
2006-04-14,1.7967
2006-04-17,1.8187
2006-04-18,1.8425
2006-04-19,1.8733
2006-04-20,1.8713
2006-04-21,1.8822
2006-04-24,1.8891
2006-04-25,1.897
2006-04-26,1.8892
2006-04-27,1.9232
2006-04-28,1.9122
2006-04-29,1.9447
2006-04-30,1.9309
2006-05-08,1.933
2006-05-09,1.9213
2006-05-10,1.9213
2006-05-11,1.9612
2006-05-12,1.9729
2006-05-15,1.9929
2006-05-16,1.9839
2006-05-17,1.9661
2006-05-18,1.9653
2006-05-19,1.947
2006-05-22,1.9617
2006-05-23,1.9745
2006-05-24,1.9708
2006-05-25,1.9598
2006-05-26,1.9745
2006-05-29,1.9855
2006-05-30,1.9983
2006-05-31,2.0066
2006-06-01,2.0122
2006-06-02,2.0312
2006-06-05,2.0533
2006-06-06,2.079
2006-06-07,2.1138
2006-06-08,2.1193
2006-06-09,2.1116
2006-06-12,2.1102
2006-06-13,2.1102
2006-06-14,2.112
2006-06-15,2.1303
2006-06-16,2.1285
2006-06-19,2.1542
2006-06-20,2.1725
2006-06-21,2.1963
2006-06-22,2.2056
2006-06-23,2.2027
2006-06-26,2.1963
2006-06-27,2.1743
2006-06-28,2.2472
2006-06-29,2.2484
2006-06-30,2.2415
2006-07-03,2.2237
2006-07-04,2.2183
2006-07-05,2.2278
2006-07-06,2.2183
2006-07-07,2.2065
2006-07-10,2.1952
2006-07-11,2.1839
2006-07-12,2.1795
2006-07-13,2.1699
2006-07-14,2.2077
2006-07-17,2.2067
2006-07-18,2.177
2006-07-19,2.2303
2006-07-20,2.2314
2006-07-21,2.2407
2006-07-24,2.3252
2006-07-25,2.407
2006-07-26,2.5445
2006-07-27,2.5416
2006-07-28,2.5368
2006-07-31,2.5457
2006-08-01,2.5392
2006-08-02,2.5482
2006-08-03,2.5386
2006-08-04,2.5362
2006-08-07,2.5207
2006-08-08,2.526
2006-08-09,2.5166
2006-08-10,2.5576
2006-08-11,2.6007
2006-08-14,2.6411
2006-08-15,2.6781
2006-08-16,2.6997
2006-08-17,2.6748
2006-08-18,2.6854
2006-08-21,2.7186
2006-08-22,2.7025
2006-08-23,2.6889
2006-08-24,2.702
2006-08-25,2.691
2006-08-28,2.6123
2006-08-29,2.5649
2006-08-30,2.5176
2006-08-31,2.5199
2006-09-01,2.529
2006-09-04,2.5373
2006-09-05,2.5062
2006-09-06,2.5089
2006-09-07,2.475
2006-09-08,2.4397
2006-09-11,2.4183
2006-09-12,2.3871
2006-09-13,2.3817
2006-09-14,2.398
2006-09-15,2.3842
2006-09-18,2.3787
2006-09-19,2.3276
2006-09-20,2.3106
2006-09-21,2.327
2006-09-22,2.5012
2006-09-25,2.507
2006-09-26,2.5587
2006-09-27,2.6067
2006-09-28,2.6546
2006-09-29,2.6872
2006-09-30,2.6872
2006-10-08,2.6736
2006-10-09,2.7678
2006-10-10,2.7492
2006-10-11,2.7669
2006-10-12,2.8576
2006-10-13,2.8607
2006-10-16,2.8668
2006-10-17,2.8973
2006-10-18,2.8851
2006-10-19,2.8851
2006-10-20,2.8973
2006-10-23,2.9461
2006-10-24,2.9437
2006-10-25,2.9461
2006-10-26,2.9401
2006-10-27,2.9217
2006-10-30,2.9217
2006-10-31,2.9309
2006-11-01,2.9461
2006-11-02,2.9584
2006-11-03,2.9645
2006-11-06,3.0011
2006-11-07,3.0163
2006-11-08,3.053
2006-11-09,3.0987
2006-11-10,3.114
2006-11-13,3.1396
2006-11-14,3.1426
2006-11-15,3.139
2006-11-16,3.1414
2006-11-17,3.1402
2006-11-20,3.1658
2006-11-21,3.2811
2006-11-22,3.2909
2006-11-23,3.3147
2006-11-24,3.3031
2006-11-27,3.2574
2006-11-28,3.2574
2006-11-29,3.2086
2006-11-30,3.2024
2006-12-01,3.178
2006-12-04,3.1659
2006-12-05,3.1567
2006-12-06,3.1549
2006-12-07,3.1537
2006-12-08,3.1323
2006-12-11,3.1353
2006-12-12,3.1109
2006-12-13,3.1353
2006-12-14,3.1658
2006-12-15,3.1658
2006-12-18,3.1292
2006-12-19,3.1048
2006-12-20,3.0866
2006-12-21,3.0804
2006-12-22,3.134
2006-12-25,3.1495
2006-12-26,3.1495
2006-12-27,3.1495
2006-12-28,3.1495
2006-12-29,3.1433
2006-12-30,3.1309
2006-12-31,3.1309
2007-01-04,3.0999
2007-01-05,3.0751
2007-01-08,3.0751
2007-01-09,3.0627
2007-01-10,3.0627
2007-01-11,3.0472
2007-01-12,3.0422
2007-01-15,3.0422
2007-01-16,3.023
2007-01-17,3.0255
2007-01-18,3.0255
2007-01-19,3.0255
2007-01-22,3.0317
2007-01-23,3.041
2007-01-24,3.0503
2007-01-25,3.0503
2007-01-26,3.0652
2007-01-29,3.0639
2007-01-30,3.0695
2007-01-31,3.0708
2007-02-01,3.0447
2007-02-02,3.0435
2007-02-05,2.9596
2007-02-06,2.9584
2007-02-07,2.9614
2007-02-08,2.9826
2007-02-09,2.9826
2007-02-12,2.9947
2007-02-13,2.9856
2007-02-14,2.9947
2007-02-15,2.9947
2007-02-16,2.9947
2007-02-17,2.9947
2007-02-25,2.9947
2007-02-26,2.9947
2007-02-27,2.9886
2007-02-28,2.9886
2007-03-01,2.9886
2007-03-02,2.9644
2007-03-05,2.9644
2007-03-06,2.9399
2007-03-07,2.9159
2007-03-08,2.9159
2007-03-09,2.9159
2007-03-12,2.9164
2007-03-13,2.9179
2007-03-14,2.9199
2007-03-15,2.9265
2007-03-16,2.9259
2007-03-19,2.9464
2007-03-20,2.9471
2007-03-21,2.9712
2007-03-22,2.9896
2007-03-23,2.9889
2007-03-26,2.9875
2007-03-27,2.9875
2007-03-28,2.9875
2007-03-29,2.9875
2007-03-30,2.9875
2007-04-02,2.9875
2007-04-03,2.988
2007-04-04,2.9883
2007-04-05,2.9883
2007-04-06,2.9883
2007-04-09,3.0083
2007-04-10,3.02
2007-04-11,3.02
2007-04-12,3.01
2007-04-13,3.01
2007-04-16,3.03
2007-04-17,3.05
2007-04-18,3.0543
2007-04-19,3.06
2007-04-20,3.07
2007-04-23,3.0792
2007-04-24,3.08
2007-04-25,3.0817
2007-04-26,3.1
2007-04-27,3.1077
2007-04-28,3.0802
2007-04-29,2.85
2007-04-30,2.71
2007-05-08,2.71
2007-05-09,2.7383
2007-05-10,2.7583
2007-05-11,2.7583
2007-05-14,2.8433
2007-05-15,2.8638
2007-05-16,2.8833
2007-05-17,2.925
2007-05-18,2.9308
2007-05-21,2.9467
2007-05-22,2.9738
2007-05-23,2.9733
2007-05-24,2.9733
2007-05-25,2.91
2007-05-28,2.8967
2007-05-29,2.8783
2007-05-30,2.88
2007-05-31,2.89
2007-06-01,2.8903
2007-06-04,2.895
2007-06-05,2.9062
2007-06-06,2.9125
2007-06-07,2.9177
2007-06-08,2.8852
2007-06-11,2.8685
2007-06-12,2.8708
2007-06-13,2.8718
2007-06-14,2.8713
2007-06-15,2.8812
2007-06-18,2.8863
2007-06-19,2.8863
2007-06-20,2.8863
2007-06-21,2.8865
2007-06-22,2.8867
2007-06-25,2.8767
2007-06-26,2.8833
2007-06-27,2.8867
2007-06-28,2.8933
2007-06-29,2.9037
2007-07-02,2.9037
2007-07-03,2.915
2007-07-04,2.9102
2007-07-05,2.9185
2007-07-06,2.925
2007-07-09,2.9283
2007-07-10,2.9283
2007-07-11,2.9292
2007-07-12,2.9292
2007-07-13,2.9283
2007-07-16,2.8617
2007-07-17,2.8617
2007-07-18,2.8617
2007-07-19,2.8442
2007-07-20,2.8488
2007-07-23,2.8383
2007-07-24,2.8357
2007-07-25,2.8682
2007-07-26,2.8576
